L1,L2,L3,F1,F2,F3,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36
0.500,0.500,0.500,0.100,0.100,0.100,18.355,-0.000,9.910,17.085,10.889,8.791,17.454,19.208,8.904,17.578,30.853,8.781,17.454,39.200,8.904,17.374,50.839,8.828,17.659,59.132,8.841,17.442,70.884,8.777,17.455,79.186,8.904,17.579,90.765,8.891,17.949,99.084,8.804,17.415,110.465,7.746,10.631,-0.000,20.574,9.239,10.489,22.215,9.522,19.414,22.588,9.238,30.481,22.216,9.522,39.406,22.588,9.238,50.474,22.216,9.522,59.399,22.588,9.238,70.467,22.215,9.522,79.393,22.587,9.239,90.461,22.215,9.522,99.387,22.587,8.813,110.411,22.484,24.738,-0.000,19.561,25.795,10.449,22.142,25.510,19.404,22.627,25.689,30.486,22.291,25.510,39.397,22.628,25.689,50.478,22.291,25.510,59.390,22.627,25.689,70.472,22.290,25.511,79.383,22.627,25.689,90.466,22.290,25.510,99.378,22.627,26.174,110.467,22.465
1.000,1.000,1.000,1.153,1.262,1.266,18.355,-0.000,9.910,17.085,10.871,8.784,17.455,19.164,8.905,17.580,30.730,8.786,17.456,39.056,8.916,17.375,50.628,8.844,17.662,58.896,8.863,17.448,70.584,8.808,17.463,78.861,8.945,17.588,90.375,8.944,17.958,98.672,8.869,17.424,110.000,7.831,10.631,-0.000,20.574,9.242,10.479,22.220,9.521,19.349,22.598,9.239,30.377,22.229,9.523,39.242,22.608,9.238,50.272,22.239,9.522,59.144,22.618,9.242,70.171,22.253,9.529,79.037,22.637,9.246,90.069,22.276,9.530,98.938,22.661,8.823,109.945,22.570,24.738,-0.000,19.561,25.793,10.442,22.147,25.514,19.337,22.637,25.692,30.380,22.305,25.514,39.232,22.648,25.691,50.275,22.316,25.515,59.128,22.657,25.696,70.171,22.329,25.520,79.026,22.677,25.700,90.074,22.353,25.520,98.932,22.701,26.178,110.001,22.549
1.500,1.500,1.500,14.064,15.542,15.614,18.355,-0.000,9.910,17.085,10.852,8.778,17.456,19.116,8.906,17.581,30.597,8.790,17.457,38.901,8.927,17.375,50.402,8.859,17.666,58.644,8.883,17.454,70.261,8.835,17.471,78.512,8.982,17.596,89.957,8.993,17.968,98.229,8.930,17.432,109.500,7.911,10.631,-0.000,20.574,9.245,10.469,22.225,9.520,19.280,22.608,9.239,30.267,22.243,9.524,39.068,22.627,9.237,50.057,22.261,9.522,58.870,22.645,9.245,69.854,22.288,9.535,78.657,22.683,9.254,89.650,22.333,9.539,98.458,22.731,8.834,109.445,22.650,24.738,-0.000,19.561,25.792,10.435,22.152,25.518,19.265,22.647,25.696,30.268,22.319,25.518,39.056,22.668,25.694,50.059,22.339,25.519,58.849,22.685,25.704,69.849,22.366,25.529,78.644,22.724,25.711,89.655,22.411,25.529,98.455,22.772,26.182,109.501,22.629
2.000,2.000,2.000,14.064,15.542,15.614,18.355,-0.000,9.910,17.085,10.852,8.778,17.456,19.116,8.906,17.581,30.597,8.790,17.457,38.901,8.927,17.375,50.402,8.859,17.666,58.644,8.883,17.454,70.261,8.835,17.471,78.512,8.982,17.596,89.957,8.993,17.968,98.229,8.930,17.432,109.500,7.911,10.631,-0.000,20.574,9.245,10.469,22.225,9.520,19.280,22.608,9.239,30.267,22.243,9.524,39.068,22.627,9.237,50.057,22.261,9.522,58.870,22.645,9.245,69.854,22.288,9.535,78.657,22.683,9.254,89.650,22.333,9.539,98.458,22.731,8.834,109.445,22.650,24.738,-0.000,19.561,25.792,10.435,22.152,25.518,19.265,22.647,25.696,30.268,22.319,25.518,39.056,22.668,25.694,50.059,22.339,25.519,58.849,22.685,25.704,69.849,22.366,25.529,78.644,22.724,25.711,89.655,22.411,25.529,98.455,22.772,26.182,109.501,22.629
2.500,2.500,2.500,14.064,15.542,15.614,18.355,-0.000,9.910,17.085,10.852,8.778,17.456,19.116,8.906,17.581,30.597,8.790,17.457,38.901,8.927,17.375,50.402,8.859,17.666,58.644,8.883,17.454,70.261,8.835,17.471,78.512,8.982,17.596,89.957,8.993,17.968,98.229,8.930,17.432,109.500,7.911,10.631,-0.000,20.574,9.245,10.469,22.225,9.520,19.280,22.608,9.239,30.267,22.243,9.524,39.068,22.627,9.237,50.057,22.261,9.522,58.870,22.645,9.245,69.854,22.288,9.535,78.657,22.683,9.254,89.650,22.333,9.539,98.458,22.731,8.834,109.445,22.650,24.738,-0.000,19.561,25.792,10.435,22.152,25.518,19.265,22.647,25.696,30.268,22.319,25.518,39.056,22.668,25.694,50.059,22.339,25.519,58.849,22.685,25.704,69.849,22.366,25.529,78.644,22.724,25.711,89.655,22.411,25.529,98.455,22.772,26.182,109.501,22.629
3.000,3.000,3.000,40.929,45.170,45.251,18.355,-0.000,9.910,17.085,10.793,8.757,17.459,18.973,8.909,17.585,30.201,8.804,17.463,38.437,8.960,17.378,49.723,8.903,17.678,57.886,8.944,17.476,69.294,8.919,17.499,77.465,9.095,17.626,88.701,9.142,18.001,96.899,9.114,17.461,107.999,8.151,10.631,-0.000,20.574,9.254,10.437,22.241,9.518,19.073,22.640,9.241,29.934,22.284,9.528,38.544,22.685,9.236,49.411,22.328,9.525,58.051,22.730,9.258,68.904,22.394,9.559,77.516,22.823,9.280,88.393,22.506,9.568,97.016,22.942,8.871,107.945,22.894,24.738,-0.000,19.561,25.788,10.414,22.168,25.528,19.049,22.678,25.706,29.931,22.362,25.530,38.528,22.728,25.703,49.408,22.411,25.535,58.011,22.769,25.730,68.883,22.476,25.561,77.498,22.867,25.748,88.398,22.588,25.562,97.024,22.984,26.199,108.002,22.869
3.500,3.500,3.500,40.929,45.170,45.251,18.355,-0.000,9.910,17.085,10.793,8.757,17.459,18.973,8.909,17.585,30.201,8.804,17.463,38.437,8.960,17.378,49.723,8.903,17.678,57.886,8.944,17.476,69.294,8.919,17.499,77.465,9.095,17.626,88.701,9.142,18.001,96.899,9.114,17.461,107.999,8.151,10.631,-0.000,20.574,9.254,10.437,22.241,9.518,19.073,22.640,9.241,29.934,22.284,9.528,38.544,22.685,9.236,49.411,22.328,9.525,58.051,22.730,9.258,68.904,22.394,9.559,77.516,22.823,9.280,88.393,22.506,9.568,97.016,22.942,8.871,107.945,22.894,24.738,-0.000,19.561,25.788,10.414,22.168,25.528,19.049,22.678,25.706,29.931,22.362,25.530,38.528,22.728,25.703,49.408,22.411,25.535,58.011,22.769,25.730,68.883,22.476,25.561,77.498,22.867,25.748,88.398,22.588,25.562,97.024,22.984,26.199,108.002,22.869
4.000,4.000,4.000,40.929,45.170,45.251,18.355,-0.000,9.910,17.085,10.793,8.757,17.459,18.973,8.909,17.585,30.201,8.804,17.463,38.437,8.960,17.378,49.723,8.903,17.678,57.886,8.944,17.476,69.294,8.919,17.499,77.465,9.095,17.626,88.701,9.142,18.001,96.899,9.114,17.461,107.999,8.151,10.631,-0.000,20.574,9.254,10.437,22.241,9.518,19.073,22.640,9.241,29.934,22.284,9.528,38.544,22.685,9.236,49.411,22.328,9.525,58.051,22.730,9.258,68.904,22.394,9.559,77.516,22.823,9.280,88.393,22.506,9.568,97.016,22.942,8.871,107.945,22.894,24.738,-0.000,19.561,25.788,10.414,22.168,25.528,19.049,22.678,25.706,29.931,22.362,25.530,38.528,22.728,25.703,49.408,22.411,25.535,58.011,22.769,25.730,68.883,22.476,25.561,77.498,22.867,25.748,88.398,22.588,25.562,97.024,22.984,26.199,108.002,22.869
4.500,4.500,4.500,44.010,48.501,48.182,18.355,-0.000,9.910,17.085,10.735,8.737,17.463,18.830,8.911,17.592,29.803,8.817,17.471,37.972,8.994,17.387,49.043,8.948,17.697,57.127,9.005,17.506,68.326,9.004,17.536,76.416,9.208,17.667,87.444,9.290,18.045,95.568,9.298,17.501,106.498,8.390,10.631,-0.000,20.574,9.263,10.406,22.256,9.516,18.866,22.671,9.244,29.601,22.325,9.536,38.019,22.742,9.241,48.764,22.395,9.534,57.231,22.814,9.279,67.952,22.499,9.591,76.374,22.962,9.316,87.134,22.678,9.607,95.573,23.151,8.918,106.444,23.134,24.738,-0.000,19.561,25.783,10.393,22.185,25.539,18.832,22.708,25.718,29.591,22.404,25.546,37.997,22.787,25.716,48.754,22.483,25.556,57.170,22.853,25.763,67.914,22.586,25.601,76.348,23.008,25.795,87.137,22.764,25.605,95.591,23.195,26.226,106.503,23.107
5.000,5.000,5.000,44.010,48.501,48.182,18.355,-0.000,9.910,17.085,10.735,8.737,17.463,18.830,8.911,17.592,29.803,8.817,17.471,37.972,8.994,17.387,49.043,8.948,17.697,57.127,9.005,17.506,68.326,9.004,17.536,76.416,9.208,17.667,87.444,9.290,18.045,95.568,9.298,17.501,106.498,8.390,10.631,-0.000,20.574,9.263,10.406,22.256,9.516,18.866,22.671,9.244,29.601,22.325,9.536,38.019,22.742,9.241,48.764,22.395,9.534,57.231,22.814,9.279,67.952,22.499,9.591,76.374,22.962,9.316,87.134,22.678,9.607,95.573,23.151,8.918,106.444,23.134,24.738,-0.000,19.561,25.783,10.393,22.185,25.539,18.832,22.708,25.718,29.591,22.404,25.546,37.997,22.787,25.716,48.754,22.483,25.556,57.170,22.853,25.763,67.914,22.586,25.601,76.348,23.008,25.795,87.137,22.764,25.605,95.591,23.195,26.226,106.503,23.107
