L1,L2,L3,F1,F2,F3,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12
0.500,0.500,0.500,0.100,0.100,0.100,17.908,-0.000,16.682,17.315,10.665,15.931,17.487,19.315,16.213,17.517,30.656,15.966,17.487,39.307,16.213,17.422,50.645,15.988,17.583,59.272,16.183,17.453,70.663,15.964,17.488,79.294,16.213,17.518,90.604,16.017,17.718,99.243,16.166,17.766,110.449,17.396
1.000,1.000,1.000,1.153,1.262,1.266,17.908,-0.000,16.682,17.316,10.652,15.931,17.488,19.259,16.218,17.519,30.543,15.976,17.489,39.153,16.229,17.423,50.439,16.009,17.585,59.024,16.209,17.459,70.364,15.999,17.496,78.952,16.258,17.526,90.213,16.075,17.727,98.812,16.236,17.773,109.983,17.480
1.500,1.500,1.500,14.064,15.542,15.614,17.908,-0.000,16.682,17.316,10.638,15.930,17.490,19.199,16.224,17.520,30.421,15.985,17.491,38.987,16.245,17.423,50.218,16.028,17.588,58.759,16.234,17.465,70.043,16.031,17.504,78.586,16.300,17.536,89.795,16.129,17.737,98.350,16.302,17.781,109.483,17.560
2.000,2.000,2.000,14.064,15.542,15.614,17.908,-0.000,16.682,17.316,10.638,15.930,17.490,19.199,16.224,17.520,30.421,15.985,17.491,38.987,16.245,17.423,50.218,16.028,17.588,58.759,16.234,17.465,70.043,16.031,17.504,78.586,16.300,17.536,89.795,16.129,17.737,98.350,16.302,17.781,109.483,17.560
2.500,2.500,2.500,14.064,15.542,15.614,17.908,-0.000,16.682,17.316,10.638,15.930,17.490,19.199,16.224,17.520,30.421,15.985,17.491,38.987,16.245,17.423,50.218,16.028,17.588,58.759,16.234,17.465,70.043,16.031,17.504,78.586,16.300,17.536,89.795,16.129,17.737,98.350,16.302,17.781,109.483,17.560
3.000,3.000,3.000,40.929,45.170,45.251,17.908,-0.000,16.682,17.317,10.597,15.929,17.493,19.020,16.242,17.526,30.058,16.014,17.498,38.490,16.291,17.427,49.556,16.085,17.599,57.963,16.307,17.485,69.080,16.127,17.531,77.487,16.428,17.566,88.538,16.291,17.768,96.964,16.500,17.808,107.984,17.802
3.500,3.500,3.500,40.929,45.170,45.251,17.908,-0.000,16.682,17.317,10.597,15.929,17.493,19.020,16.242,17.526,30.058,16.014,17.498,38.490,16.291,17.427,49.556,16.085,17.599,57.963,16.307,17.485,69.080,16.127,17.531,77.487,16.428,17.566,88.538,16.291,17.768,96.964,16.500,17.808,107.984,17.802
4.000,4.000,4.000,40.929,45.170,45.251,17.908,-0.000,16.682,17.317,10.597,15.929,17.493,19.020,16.242,17.526,30.058,16.014,17.498,38.490,16.291,17.427,49.556,16.085,17.599,57.963,16.307,17.485,69.080,16.127,17.531,77.487,16.428,17.566,88.538,16.291,17.768,96.964,16.500,17.808,107.984,17.802
4.500,4.500,4.500,44.010,48.501,48.182,17.908,-0.000,16.682,17.319,10.556,15.928,17.497,18.840,16.260,17.533,29.693,16.042,17.508,37.991,16.338,17.436,48.892,16.143,17.616,57.166,16.380,17.514,68.116,16.224,17.568,76.387,16.556,17.608,87.279,16.453,17.811,95.576,16.698,17.846,106.483,18.040
5.000,5.000,5.000,44.010,48.501,48.182,17.908,-0.000,16.682,17.319,10.556,15.928,17.497,18.840,16.260,17.533,29.693,16.042,17.508,37.991,16.338,17.436,48.892,16.143,17.616,57.166,16.380,17.514,68.116,16.224,17.568,76.387,16.556,17.608,87.279,16.453,17.811,95.576,16.698,17.846,106.483,18.040
5.500,5.500,5.500,34.411,37.986,37.416,17.908,-0.000,16.682,17.319,10.528,15.928,17.501,18.720,16.271,17.539,29.449,16.061,17.517,37.658,16.368,17.446,48.448,16.181,17.632,56.634,16.428,17.539,67.472,16.288,17.600,75.652,16.639,17.643,86.439,16.558,17.848,94.649,16.826,17.880,105.481,18.195
6.000,6.000,6.000,34.411,37.986,37.416,17.908,-0.000,16.682,17.319,10.528,15.928,17.501,18.720,16.271,17.539,29.449,16.061,17.517,37.658,16.368,17.446,48.448,16.181,17.632,56.634,16.428,17.539,67.472,16.288,17.600,75.652,16.639,17.643,86.439,16.558,17.848,94.649,16.826,17.880,105.481,18.195
