theta,RMS_diff,cable1_idx,cable2_idx,cable3_idx,F1,F2,F3
0.0,25.909008,0,1,2,421.034,482.700,438.876
30.0,27.217036,3,4,5,428.032,488.121,433.066
60.0,24.139929,6,7,8,433.582,482.020,428.431
90.0,8.799251,9,10,11,437.011,454.445,456.703
120.0,26.005253,12,13,14,438.699,421.079,482.902
150.0,27.252417,15,16,17,433.040,428.009,488.171
180.0,24.173629,18,19,20,428.406,433.561,482.069
210.0,8.813040,21,22,23,456.677,436.986,454.495
240.0,25.982460,24,25,26,482.880,438.675,421.125
270.0,27.234377,27,28,29,488.148,433.015,428.056
300.0,24.160307,30,31,32,482.046,428.382,433.605
330.0,8.778457,33,34,35,454.471,456.652,437.036
360.0,25.973642,36,37,38,421.103,482.856,438.722
