displacement_cable1,avg_force
1.0,0.1
2.0,45.60528951103355
3.0,92.28237026320306
4.0,137.1179462576911
5.0,182.7221061950345
6.0,228.6613207110886
7.0,275.4294298678599
8.0,321.77628249370457
9.0,366.1995486022108
10.0,413.12060277351003
11.0,458.29957798539414
12.0,499.9186794060005
13.0,544.5270087357272
14.0,593.3989123242569
15.0,638.8755450902943
16.0,687.1072093443552
17.0,729.4868128780922
18.0,768.5216028747495
19.0,812.9549345482012
20.0,863.5680387735808
21.0,898.536159103656
22.0,946.5156713085892
23.0,998.9913640862746
24.0,1045.5181414420986
25.0,1075.6332484840602
26.0,1132.7427081723304
27.0,1171.6794400101703
28.0,1204.2248877283737
29.0,1251.9692343195552
30.0,1311.5735699503566
31.0,1351.4492171497052
32.0,1395.0994856830894
33.0,1422.3036569133048
34.0,1462.1918550105459
35.0,1518.7012617092564
36.0,1567.3089631141956
37.0,1599.2040688431593
38.0,1636.7866962718886
39.0,1692.7008960864496
40.0,1728.5070984955191
41.0,1763.6426098521806
42.0,1821.3968045874512
43.0,1863.5145845129618
44.0,1919.934913884038
45.0,1953.6408544745314
46.0,1989.015146094447
47.0,2051.2428320290956
48.0,2084.815067919033
49.0,2109.1269212664065
50.0,2159.923242439094
51.0,2210.4797340705068
52.0,2242.099528610378
53.0,2303.368045763812
54.0,2353.84124415148
55.0,2418.000585046996
56.0,2436.9372718022123
57.0,2522.423218798462
58.0,2500.4853993657075
59.0,2736.6372740016027
60.0,2646.068749158347
61.0,2695.324163890888
62.0,2694.959770303384
63.0,2794.388387319792
64.0,2908.90398492801
65.0,2836.5216818568624
66.0,2886.1445567875317
67.0,2955.544192708964
68.0,2978.168633284324
69.0,3308.412837480858
70.0,3049.088850618522
