L1,L2,L3,F1,F2,F3,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60
0.000,0.000,0.000,0.100,0.100,0.100,0.615,2.525,21.859,1.555,14.166,19.923,2.862,36.611,20.369,4.174,55.834,21.349,5.373,75.719,20.478,8.007,91.413,22.992,7.671,109.950,22.283,10.221,124.057,22.784,11.019,139.576,22.548,12.697,152.361,22.479,13.352,165.597,22.110,14.148,177.731,21.673,14.567,189.341,21.386,15.490,199.202,21.886,16.014,209.436,21.802,16.755,218.769,21.570,17.349,227.851,22.003,17.655,235.838,22.314,18.663,244.397,22.116,18.762,249.774,22.259,31.250,3.862,4.343,32.148,10.948,8.005,29.813,34.694,8.028,29.669,54.582,10.402,31.000,72.369,10.103,29.005,91.815,10.785,28.139,109.296,12.010,27.912,124.055,12.806,27.623,139.097,13.678,27.174,151.532,14.207,27.512,165.397,15.021,27.037,176.593,15.430,26.552,188.398,15.931,26.484,199.550,16.860,26.010,209.567,17.066,25.484,218.254,17.209,24.878,227.224,17.743,24.532,235.450,18.149,24.192,244.213,18.922,24.677,249.965,19.521,30.664,3.686,40.284,31.936,12.998,36.939,29.825,34.800,36.293,29.691,54.720,35.162,29.049,74.337,35.048,29.669,91.662,34.339,29.753,109.237,34.027,28.157,124.089,33.292,27.376,139.423,32.318,27.492,151.817,31.352,26.963,165.446,30.483,27.054,176.656,29.947,26.720,188.795,29.713,26.997,199.167,28.927,26.675,209.525,28.426,26.284,218.779,27.933,25.909,227.818,27.320,25.328,235.519,27.203,24.715,244.351,26.535,25.599,250.741,25.163
0.000,0.000,0.000,0.100,0.100,0.100,0.615,2.525,21.859,1.555,14.166,19.923,2.862,36.611,20.369,4.174,55.834,21.349,5.373,75.719,20.478,8.007,91.413,22.992,7.671,109.950,22.283,10.221,124.057,22.784,11.019,139.576,22.548,12.697,152.361,22.479,13.352,165.597,22.110,14.148,177.731,21.673,14.567,189.341,21.386,15.490,199.202,21.886,16.014,209.436,21.802,16.755,218.769,21.570,17.349,227.851,22.003,17.655,235.838,22.314,18.663,244.397,22.116,18.762,249.774,22.259,31.250,3.862,4.343,32.148,10.948,8.005,29.813,34.694,8.028,29.669,54.582,10.402,31.000,72.369,10.103,29.005,91.815,10.785,28.139,109.296,12.010,27.912,124.055,12.806,27.623,139.097,13.678,27.174,151.532,14.207,27.512,165.397,15.021,27.037,176.593,15.430,26.552,188.398,15.931,26.484,199.550,16.860,26.010,209.567,17.066,25.484,218.254,17.209,24.878,227.224,17.743,24.532,235.450,18.149,24.192,244.213,18.922,24.677,249.965,19.521,30.664,3.686,40.284,31.936,12.998,36.939,29.825,34.800,36.293,29.691,54.720,35.162,29.049,74.337,35.048,29.669,91.662,34.339,29.753,109.237,34.027,28.157,124.089,33.292,27.376,139.423,32.318,27.492,151.817,31.352,26.963,165.446,30.483,27.054,176.656,29.947,26.720,188.795,29.713,26.997,199.167,28.927,26.675,209.525,28.426,26.284,218.779,27.933,25.909,227.818,27.320,25.328,235.519,27.203,24.715,244.351,26.535,25.599,250.741,25.163
1.000,1.000,1.000,18.660,17.833,25.991,0.615,2.525,21.859,1.548,14.146,19.924,2.854,36.559,20.382,4.171,55.742,21.378,5.380,75.596,20.525,8.025,91.248,23.055,7.709,109.745,22.377,10.278,123.806,22.906,11.097,139.272,22.708,12.793,151.996,22.679,13.463,165.165,22.351,14.277,177.235,21.957,14.709,188.788,21.713,15.643,198.597,22.243,16.180,208.779,22.176,16.934,218.064,21.955,17.539,227.099,22.387,17.856,235.039,22.689,18.883,243.534,22.470,18.990,248.863,22.589,31.250,3.861,4.343,32.149,10.947,8.005,29.808,34.645,8.038,29.670,54.498,10.426,31.008,72.259,10.145,29.025,91.651,10.846,28.181,109.085,12.101,27.974,123.805,12.926,27.706,138.800,13.838,27.272,151.178,14.401,27.630,164.976,15.261,27.168,176.112,15.707,26.695,187.856,16.249,26.640,198.943,17.212,26.179,208.904,17.436,25.666,217.547,17.590,25.070,226.461,18.124,24.735,234.632,18.519,24.412,243.328,19.273,24.907,249.036,19.846,30.664,3.686,40.284,31.935,12.985,36.939,29.819,34.742,36.305,29.691,54.616,35.188,29.060,74.190,35.092,29.691,91.465,34.404,29.794,108.988,34.118,28.217,123.795,33.416,27.459,139.074,32.480,27.591,151.410,31.552,27.083,164.975,30.723,27.186,176.121,30.227,26.868,188.202,30.036,27.156,198.533,29.281,26.846,208.841,28.799,26.468,218.059,28.318,26.103,227.057,27.705,25.535,234.716,27.578,24.940,243.490,26.888,25.835,249.833,25.486
2.000,2.000,2.000,22.204,21.191,30.952,0.615,2.525,21.859,1.542,14.125,19.925,2.846,36.505,20.396,4.168,55.645,21.409,5.387,75.468,20.576,8.046,91.075,23.124,7.750,109.530,22.478,10.341,123.542,23.039,11.181,138.954,22.881,12.897,151.612,22.895,13.583,164.712,22.611,14.417,176.713,22.261,14.862,188.206,22.060,15.807,197.960,22.622,16.358,208.086,22.572,17.125,217.322,22.361,17.742,226.307,22.792,18.070,234.199,23.081,19.115,242.625,22.840,19.230,247.903,22.932,31.250,3.861,4.343,32.150,10.947,8.006,29.803,34.595,8.049,29.672,54.410,10.453,31.017,72.144,10.190,29.048,91.480,10.913,28.226,108.863,12.201,28.040,123.541,13.056,27.797,138.489,14.011,27.379,150.805,14.610,27.757,164.533,15.520,27.308,175.605,16.003,26.848,187.285,16.589,26.808,198.304,17.587,26.360,208.205,17.828,25.859,216.802,17.993,25.275,225.657,18.526,24.950,233.771,18.908,24.645,242.395,19.639,25.150,248.058,20.184,30.664,3.686,40.284,31.933,12.971,36.939,29.814,34.681,36.318,29.691,54.507,35.216,29.072,74.035,35.141,29.715,91.258,34.474,29.840,108.726,34.217,28.283,123.484,33.550,27.548,138.706,32.655,27.699,150.981,31.766,27.212,164.478,30.981,27.329,175.557,30.526,27.027,187.577,30.380,27.325,197.865,29.658,27.029,208.123,29.195,26.664,217.302,28.724,26.310,226.258,28.110,25.754,233.872,27.973,25.176,242.585,27.257,26.083,248.879,25.822
3.010,3.010,3.010,24.070,22.949,33.462,0.615,2.525,21.859,1.535,14.103,19.926,2.838,36.447,20.410,4.164,55.544,21.442,5.395,75.333,20.629,8.067,90.893,23.196,7.793,109.304,22.585,10.406,123.264,23.177,11.270,138.619,23.062,13.006,151.208,23.119,13.709,164.234,22.881,14.562,176.164,22.578,15.021,187.593,22.423,15.979,197.289,23.016,16.545,207.357,22.984,17.326,216.540,22.783,17.954,225.472,23.212,18.294,233.314,23.489,19.358,241.668,23.224,19.482,246.893,23.288,31.250,3.861,4.343,32.151,10.947,8.006,29.798,34.541,8.060,29.673,54.318,10.482,31.027,72.023,10.238,29.072,91.300,10.984,28.274,108.630,12.305,28.110,123.264,13.192,27.891,138.160,14.192,27.491,150.413,14.829,27.891,164.066,15.790,27.456,175.072,16.312,27.009,186.684,16.944,26.984,197.630,17.978,26.549,207.469,18.236,26.062,216.018,18.413,25.489,224.811,18.944,25.176,232.864,19.312,24.889,241.414,20.020,25.404,247.029,20.536,30.664,3.687,40.284,31.932,12.957,36.940,29.808,34.617,36.332,29.692,54.393,35.246,29.085,73.871,35.192,29.740,91.041,34.547,29.887,108.450,34.321,28.352,123.157,33.690,27.642,138.318,32.837,27.811,150.529,31.991,27.347,163.955,31.250,27.478,174.964,30.838,27.193,186.920,30.739,27.503,197.162,30.050,27.220,207.366,29.607,26.869,216.505,29.148,26.526,225.417,28.531,25.983,232.983,28.383,25.424,241.632,27.640,26.342,247.874,26.171
4.010,4.010,4.010,26.478,25.227,36.788,0.615,2.525,21.859,1.529,14.085,19.926,2.831,36.400,20.422,4.162,55.461,21.468,5.401,75.223,20.672,8.084,90.745,23.255,7.828,109.119,22.670,10.459,123.037,23.289,11.342,138.345,23.208,13.094,150.878,23.301,13.810,163.844,23.099,14.680,175.715,22.833,15.150,187.092,22.714,16.118,196.741,23.333,16.695,206.762,23.315,17.488,215.902,23.122,18.125,224.791,23.548,18.476,232.591,23.816,19.555,240.887,23.532,19.686,246.068,23.574,31.250,3.861,4.343,32.152,10.947,8.006,29.793,34.498,8.070,29.675,54.242,10.505,31.035,71.925,10.277,29.091,91.152,11.040,28.312,108.439,12.389,28.167,123.038,13.302,27.968,137.892,14.338,27.582,150.092,15.005,27.999,163.684,16.008,27.576,174.635,16.561,27.139,186.193,17.229,27.125,197.080,18.292,26.702,206.867,18.564,26.227,215.377,18.749,25.663,224.120,19.279,25.359,232.123,19.636,25.086,240.612,20.326,25.611,246.188,20.818,30.664,3.687,40.284,31.931,12.945,36.940,29.803,34.564,36.343,29.692,54.300,35.270,29.095,73.738,35.233,29.760,90.863,34.607,29.925,108.225,34.405,28.407,122.891,33.803,27.717,138.003,32.984,27.902,150.160,32.172,27.455,163.529,31.467,27.599,174.480,31.089,27.327,186.384,31.027,27.646,196.587,30.366,27.374,206.748,29.937,27.034,215.854,29.487,26.700,224.729,28.869,26.168,232.258,28.712,25.624,240.853,27.948,26.552,247.053,26.452
5.010,5.010,5.010,27.479,26.164,38.020,0.615,2.525,21.859,1.522,14.062,19.927,2.823,36.342,20.437,4.158,55.358,21.501,5.409,75.087,20.725,8.105,90.561,23.326,7.871,108.890,22.776,10.524,122.757,23.427,11.430,138.006,23.387,13.203,150.469,23.523,13.936,163.360,23.366,14.825,175.158,23.145,15.309,186.470,23.071,16.289,196.062,23.721,16.880,206.023,23.720,17.688,215.111,23.535,18.337,223.947,23.959,18.700,231.695,24.215,19.799,239.919,23.908,19.938,245.044,23.923,31.250,3.861,4.343,32.153,10.947,8.007,29.788,34.444,8.081,29.677,54.148,10.533,31.045,71.803,10.325,29.115,90.970,11.110,28.360,108.203,12.492,28.237,122.757,13.438,28.063,137.560,14.517,27.693,149.695,15.221,28.133,163.211,16.275,27.723,174.094,16.866,27.300,185.583,17.578,27.300,196.397,18.676,26.891,206.121,18.965,26.429,214.582,19.161,25.878,223.263,19.688,25.586,231.205,20.032,25.331,239.618,20.700,25.865,245.145,21.164,30.664,3.687,40.284,31.930,12.930,36.940,29.797,34.499,36.356,29.693,54.184,35.300,29.108,73.573,35.283,29.785,90.644,34.680,29.972,107.946,34.508,28.476,122.561,33.941,27.810,137.611,33.164,28.014,149.704,32.394,27.589,163.000,31.732,27.747,173.879,31.397,27.492,185.719,31.380,27.822,195.876,30.752,27.563,205.982,30.342,27.237,215.046,29.903,26.915,223.877,29.282,26.396,231.358,29.114,25.871,239.888,28.324,26.811,246.035,26.795
6.010,6.010,6.010,28.353,26.979,39.195,0.615,2.525,21.859,1.516,14.041,19.928,2.815,36.288,20.450,4.155,55.262,21.531,5.416,74.958,20.774,8.125,90.388,23.393,7.912,108.675,22.874,10.585,122.492,23.555,11.513,137.686,23.553,13.304,150.083,23.729,14.053,162.903,23.614,14.960,174.632,23.434,15.458,185.884,23.401,16.448,195.420,24.080,17.054,205.326,24.094,17.875,214.364,23.917,18.535,223.150,24.338,18.909,230.850,24.583,20.026,239.005,24.255,20.173,244.079,24.245,31.250,3.861,4.343,32.154,10.947,8.007,29.783,34.393,8.092,29.678,54.060,10.559,31.054,71.688,10.369,29.138,90.798,11.175,28.405,107.980,12.588,28.302,122.493,13.564,28.152,137.246,14.684,27.798,149.320,15.423,28.258,162.764,16.523,27.861,173.583,17.149,27.450,185.007,17.902,27.464,195.753,19.033,27.068,205.417,19.336,26.619,213.832,19.542,26.078,222.454,20.066,25.797,230.338,20.397,25.559,238.681,21.045,26.104,244.161,21.483,30.664,3.687,40.284,31.929,12.916,36.940,29.792,34.438,36.369,29.693,54.075,35.327,29.119,73.418,35.331,29.808,90.437,34.748,30.016,107.684,34.604,28.539,122.250,34.071,27.897,137.242,33.332,28.118,149.273,32.600,27.713,162.501,31.979,27.884,173.313,31.683,27.645,185.091,31.707,27.986,195.204,31.110,27.740,205.259,30.717,27.427,214.285,30.287,27.115,223.073,29.664,26.609,230.508,29.485,26.102,238.977,28.671,27.054,245.073,27.112
7.010,7.010,7.010,32.033,30.471,44.176,0.615,2.525,21.859,1.509,14.019,19.929,2.807,36.230,20.465,4.151,55.159,21.562,5.424,74.822,20.826,8.145,90.204,23.463,7.954,108.446,22.976,10.649,122.210,23.687,11.600,137.346,23.726,13.410,149.673,23.943,14.174,162.418,23.871,15.102,174.073,23.734,15.612,185.260,23.743,16.614,194.738,24.451,17.234,204.585,24.480,18.069,213.570,24.312,18.741,222.303,24.730,19.128,229.951,24.962,20.265,238.034,24.613,20.421,243.053,24.578,31.250,3.861,4.343,32.155,10.946,8.007,29.778,34.339,8.103,29.680,53.966,10.587,31.063,71.565,10.416,29.161,90.615,11.243,28.452,107.743,12.689,28.371,122.211,13.695,28.245,136.912,14.858,27.908,148.921,15.632,28.388,162.288,16.781,28.005,173.040,17.443,27.606,184.395,18.238,27.634,195.067,19.402,27.252,204.667,19.720,26.817,213.034,19.935,26.288,221.594,20.457,26.019,229.417,20.774,25.799,237.685,21.401,26.354,243.116,21.813,30.663,3.687,40.284,31.927,12.902,36.940,29.786,34.374,36.383,29.693,53.960,35.356,29.131,73.253,35.380,29.832,90.218,34.819,30.062,107.405,34.704,28.606,121.920,34.205,27.987,136.851,33.507,28.226,148.816,32.815,27.843,161.972,32.235,28.028,172.712,31.978,27.804,184.425,32.046,28.157,194.491,31.481,27.923,204.491,31.105,27.625,213.476,30.684,27.324,222.219,30.058,26.831,229.606,29.868,26.344,238.008,29.030,27.308,244.051,27.439
8.010,8.010,8.010,32.169,30.590,44.256,0.615,2.525,21.859,1.502,13.996,19.930,2.799,36.170,20.479,4.148,55.054,21.595,5.431,74.683,20.878,8.166,90.016,23.533,7.997,108.212,23.080,10.714,121.923,23.822,11.688,136.999,23.901,13.518,149.254,24.160,14.299,161.922,24.130,15.245,173.502,24.036,15.769,184.623,24.086,16.783,194.042,24.824,17.417,203.829,24.868,18.267,212.759,24.707,18.951,221.438,25.121,19.350,229.035,25.341,20.508,237.044,24.972,20.672,242.005,24.912,31.250,3.861,4.343,32.156,10.946,8.008,29.772,34.284,8.114,29.681,53.870,10.615,31.073,71.440,10.463,29.185,90.429,11.312,28.499,107.502,12.790,28.441,121.924,13.828,28.340,136.571,15.034,28.019,148.514,15.844,28.522,161.803,17.042,28.152,172.485,17.739,27.766,183.769,18.576,27.807,194.367,19.773,27.440,203.902,20.106,27.018,212.219,20.331,26.501,220.716,20.848,26.244,228.477,21.153,26.043,236.668,21.759,26.609,242.049,22.145,30.663,3.687,40.284,31.926,12.887,36.940,29.780,34.308,36.396,29.693,53.842,35.385,29.144,73.086,35.430,29.856,89.994,34.890,30.108,107.122,34.805,28.673,121.584,34.341,28.079,136.451,33.683,28.336,148.349,33.031,27.975,161.432,32.494,28.174,172.098,32.277,27.966,183.745,32.387,28.330,193.762,31.854,28.109,203.707,31.495,27.825,212.650,31.083,27.536,221.346,30.454,27.057,228.684,30.252,26.589,237.019,29.390,27.566,243.008,27.769
