L1,L2,L3,F1,F2,F3,x1,y1,z1
0.000,0.000,0.000,0.100,0.100,0.100,23.247,250.232,22.699
0.000,0.000,0.000,0.100,0.100,0.100,23.247,250.232,22.699
1.000,0.000,0.000,16.158,0.100,1.811,18.713,249.910,22.593
2.000,0.000,0.000,17.790,0.100,1.965,14.060,249.430,22.617
3.010,0.000,0.000,19.461,0.100,2.113,9.390,248.781,22.635
4.010,0.000,0.000,20.127,0.100,2.276,4.754,247.967,22.648
5.010,0.000,0.000,21.865,0.100,2.402,0.128,246.983,22.645
6.010,0.000,0.000,24.676,0.100,2.479,-4.384,245.851,22.623
7.010,0.000,0.000,25.307,0.100,2.728,-8.843,244.564,22.592
8.010,0.000,0.000,28.176,0.100,2.805,-13.393,243.069,22.537
9.010,0.000,0.000,30.115,0.100,2.861,-17.865,241.416,22.469
10.010,0.000,0.000,33.147,0.100,2.871,-22.276,239.598,22.374
11.010,0.000,0.000,35.151,0.100,2.898,-26.590,237.632,22.260
12.010,0.000,0.000,36.071,0.100,2.963,-30.759,235.546,22.128
13.010,0.000,0.000,37.758,0.100,2.963,-34.140,233.711,21.997
14.010,0.000,0.000,40.972,0.100,2.886,-38.198,231.326,21.812
15.010,0.000,0.000,43.064,0.100,2.967,-42.207,228.768,21.603
16.010,0.000,0.000,44.944,0.100,2.910,-45.473,226.523,21.410
17.010,0.000,0.000,47.249,0.100,2.821,-49.293,223.699,21.152
18.000,0.000,0.000,47.983,0.100,2.838,-52.338,221.283,20.924
19.000,0.000,0.000,51.504,0.100,2.602,-55.809,218.329,20.625
20.000,0.000,0.000,52.560,0.100,2.582,-59.049,215.368,20.320
21.000,0.000,0.000,55.769,0.100,2.309,-61.700,212.778,20.040
22.000,0.000,0.000,57.659,0.100,2.266,-65.788,208.526,19.911
23.000,0.000,0.000,60.213,0.100,1.968,-68.067,205.928,19.599
24.000,0.000,0.000,63.020,0.100,1.765,-70.730,202.693,19.198
